citation_number,location,plate_state,plate_number,vin,issue_date,due_date,status,amount_due,more_info_url,issuing_agency,comments,violations,image_urls,scraped_at
10516946,Lot #10 - Kerrytown,MI,4PEL58,,2025-10-16 13:15:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjcwZDhjOWQyLWIzYWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:6623NOPAYMENTSINCE:5:06,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=70d8c9d2-b3aa-f011-8e58-001dd8b724b7&MediaId=582d10df-b3aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=70d8c9d2-b3aa-f011-8e58-001dd8b724b7&MediaId=612d10df-b3aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=70d8c9d2-b3aa-f011-8e58-001dd8b724b7&MediaId=6b2d10df-b3aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:04.880865-04:00
10516949,Lot #7 - Farmers Market,NY,LKM5950,,2025-10-16 13:24:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjBmMGJlYTM3LWI1YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:54NOPAYMENTSINCE:12:54PM,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=0f0bea37-b5aa-f011-8e58-001dd8b724b7&MediaId=255fdd43-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=0f0bea37-b5aa-f011-8e58-001dd8b724b7&MediaId=7b5fdd43-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=0f0bea37-b5aa-f011-8e58-001dd8b724b7&MediaId=805fdd43-b5aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:12.112959-04:00
10516950,Lot #7 - Farmers Market,MI,0PRX51,,2025-10-16 13:26:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImE1ZDFkZDgwLWI1YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:42NOPAYMENTSINCE:6:00PM,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=a5d1dd80-b5aa-f011-8e58-001dd8b724b7&MediaId=73827f8d-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=a5d1dd80-b5aa-f011-8e58-001dd8b724b7&MediaId=78827f8d-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=a5d1dd80-b5aa-f011-8e58-001dd8b724b7&MediaId=79827f8d-b5aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:16.845459-04:00
10516952,Lot #7 - Farmers Market,MI,EBX4394,,2025-10-16 13:29:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjA1YjZjN2M4LWI1YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:76NOPAYMENTSINCE:1:16PM,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=05b6c7c8-b5aa-f011-8e58-001dd8b724b7&MediaId=f4c349d5-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=05b6c7c8-b5aa-f011-8e58-001dd8b724b7&MediaId=f6c349d5-b5aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=05b6c7c8-b5aa-f011-8e58-001dd8b724b7&MediaId=f9c349d5-b5aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:23.643708-04:00
10516961,Detroit St,ON,DETK639,,2025-10-16 13:45:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6Ijc0YWNhYTAzLWI4YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:1553NOPAYMENTSINCE:12:39,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=74acaa03-b8aa-f011-8e58-001dd8b724b7&MediaId=5643c10f-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=74acaa03-b8aa-f011-8e58-001dd8b724b7&MediaId=5a43c10f-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=74acaa03-b8aa-f011-8e58-001dd8b724b7&MediaId=6543c10f-b8aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:38.257933-04:00
10516963,Detroit St,MI,6LBR90,,2025-10-16 13:50:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImUzZDVlMGUxLWI4YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:1591NOPAYMENTSINCE:11:27,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=e3d5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=34dae0e1-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=e3d5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=afdae0e1-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=e3d5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=8faf71e8-b8aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:44.128993-04:00
10516964,Detroit St,MI,EAZ6374,,2025-10-16 13:51:00-04:00,,OPEN,25.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjVjZDVlMGUxLWI4YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:1585NOPAYMENTSINCE:1:18,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=5cd5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=94af71e8-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=5cd5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=99af71e8-b8aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=5cd5e0e1-b8aa-f011-8e58-001dd8b724b7&MediaId=9caf71e8-b8aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:48.692683-04:00
10516965,Lot #16 - Community High,MI,EQW4409,,2025-10-16 13:54:00-04:00,,OPEN,35.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjFlNWY0ODc0LWI5YWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",PHOTO(S)TAKENSTUDENTPERMIT,"[""A19 C30 2:89 A19-PARKED WITHOUT PERMIT IN CITY LOT""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=1e5f4874-b9aa-f011-8e58-001dd8b724b7&MediaId=04488c86-b9aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=1e5f4874-b9aa-f011-8e58-001dd8b724b7&MediaId=95488c86-b9aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=1e5f4874-b9aa-f011-8e58-001dd8b724b7&MediaId=2f4d9e8c-b9aa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=1e5f4874-b9aa-f011-8e58-001dd8b724b7&MediaId=314d9e8c-b9aa-f011-8e58-001dd8b724b7""]",2025-10-20 16:40:54.032421-04:00
10516968,Lot #16 - Community High,MI,EQX7490,,2025-10-16 14:01:00-04:00,,OPEN,35.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjM0ZjA0OTQzLWJhYWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",PHOTO(S)TAKENSTUDENTPERMIT,"[""A19 C30 2:89 A19-PARKED WITHOUT PERMIT IN CITY LOT""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=34f04943-baaa-f011-8e58-001dd8b724b7&MediaId=ca7e7c55-baaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=34f04943-baaa-f011-8e58-001dd8b724b7&MediaId=317f7c55-baaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=34f04943-baaa-f011-8e58-001dd8b724b7&MediaId=6d7f7c55-baaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=34f04943-baaa-f011-8e58-001dd8b724b7&MediaId=6f7f7c55-baaa-f011-8e58-001dd8b724b7""]",2025-10-20 16:41:00.914853-04:00
10516972,Lot #15,MI,EQU0802,,2025-10-16 14:39:00-04:00,,OPEN,35.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjNjNDNmNDkxLWJmYWEtZjAxMS04ZTU4LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",PHOTO(S)TAKENMONTHLYPERMIT,"[""A19 C30 2:89 A19-PARKED WITHOUT PERMIT IN CITY LOT""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=3c43f491-bfaa-f011-8e58-001dd8b724b7&MediaId=8b81ec97-bfaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=3c43f491-bfaa-f011-8e58-001dd8b724b7&MediaId=8d81ec97-bfaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=3c43f491-bfaa-f011-8e58-001dd8b724b7&MediaId=88470d9e-bfaa-f011-8e58-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=3c43f491-bfaa-f011-8e58-001dd8b724b7&MediaId=8c470d9e-bfaa-f011-8e58-001dd8b724b7""]",2025-10-20 16:41:09.772495-04:00
